,,Price
2021,0,32.4
2021,1,24.1
2021,2,19.72
2021,3,18.96
2021,4,19.51
2021,5,22.07
2021,6,28.7
2021,7,39.05
2021,8,45.01
2021,9,46.85
2021,10,47.02
2021,11,44.3
2021,12,41.05
2021,13,39.05
2021,14,38.68
2021,15,37.85
2021,16,41.09
2021,17,45.36
2021,18,50.29
2021,19,52.97
2021,20,54.26
2021,21,49.75
2021,22,46.24
2021,23,43.6
2021,24,43.84
2021,25,40.43
2021,26,36.75
2021,27,34.31
2021,28,33.5
2021,29,36.03
2021,30,43.31
2021,31,49.52
2021,32,53.01
2021,33,55.6
2021,34,55.68
2021,35,53.7
2021,36,51.86
2021,37,52.01
2021,38,50.45
2021,39,50.27
2021,40,52.36
2021,41,54.96
2021,42,59.96
2021,43,59.86
2021,44,56.5
2021,45,52.95
2021,46,51.13
2021,47,47.64
2021,48,42.11
2021,49,37.03
2021,50,35.25
2021,51,31.82
2021,52,31.67
2021,53,34
2021,54,36.99
2021,55,45.86
2021,56,50.47
2021,57,54.07
2021,58,54.66
2021,59,54
2021,60,53.48
2021,61,52.36
2021,62,52.84
2021,63,53.95
2021,64,54.59
2021,65,57.76
2021,66,61.08
2021,67,60.54
2021,68,56.75
2021,69,52.44
2021,70,51.86
2021,71,52.26
2021,72,50.87
2021,73,48.19
2021,74,44.68
2021,75,38.5
2021,76,36.8
2021,77,36.55
2021,78,36.6
2021,79,36.55
2021,80,36.55
2021,81,36.55
2021,82,37.55
2021,83,37.55
2021,84,37.55
2021,85,37.55
2021,86,36.6
2021,87,35.5
2021,88,36
2021,89,38.5
2021,90,52.01
2021,91,55.16
2021,92,57.4
2021,93,53.86
2021,94,53.45
2021,95,49.72
2021,96,46.69
2021,97,42.43
2021,98,40.1
2021,99,39.11
2021,100,37.55
2021,101,37.7
2021,102,39.6
2021,103,43.34
2021,104,48.45
2021,105,51.6
2021,106,52
2021,107,51.25
2021,108,50.56
2021,109,50.57
2021,110,50.57
2021,111,48.45
2021,112,50.25
2021,113,54.23
2021,114,58.65
2021,115,60.43
2021,116,60.03
2021,117,55.03
2021,118,52.25
2021,119,48.45
2021,120,46.11
2021,121,43
2021,122,39.55
2021,123,37.44
2021,124,35.64
2021,125,35.5
2021,126,36.14
2021,127,36.97
2021,128,38.92
2021,129,44.49
2021,130,49
2021,131,50.3
2021,132,48
2021,133,46.64
2021,134,44.01
2021,135,41.27
2021,136,49.92
2021,137,55.16
2021,138,59.29
2021,139,61.09
2021,140,60
2021,141,59.4
2021,142,55.36
2021,143,53.06
2021,144,50.23
2021,145,47.01
2021,146,43.79
2021,147,41.65
2021,148,41.62
2021,149,44.5
2021,150,56
2021,151,62
2021,152,64.84
2021,153,68.25
2021,154,65.97
2021,155,63.93
2021,156,63.94
2021,157,63.94
2021,158,61.97
2021,159,62.45
2021,160,63.9
2021,161,67.02
2021,162,71.05
2021,163,72.6
2021,164,70
2021,165,66
2021,166,62.48
2021,167,61.25
2021,168,64.68
2021,169,56.25
2021,170,51.86
2021,171,50.91
2021,172,50.56
2021,173,51.25
2021,174,58.45
2021,175,68.3
2021,176,70.41
2021,177,75
2021,178,73.48
2021,179,72.31
2021,180,71.35
2021,181,72.52
2021,182,69.75
2021,183,68.29
2021,184,69.75
2021,185,71.9
2021,186,80
2021,187,80
2021,188,75.99
2021,189,75.39
2021,190,72.69
2021,191,70
2021,192,69.02
2021,193,67.54
2021,194,60.39
2021,195,55.75
2021,196,55.16
2021,197,53.51
2021,198,55.18
2021,199,67.61
2021,200,70
2021,201,73.54
2021,202,75.95
2021,203,77.18
2021,204,77.01
2021,205,73.79
2021,206,73.02
2021,207,70.89
2021,208,72.85
2021,209,78
2021,210,83.35
2021,211,90
2021,212,79.6
2021,213,75.4
2021,214,72.1
2021,215,67.54
2021,216,77
2021,217,65.85
2021,218,63.78
2021,219,59.31
2021,220,58
2021,221,60.65
2021,222,65
2021,223,83.98
2021,224,95.02
2021,225,99
2021,226,100
2021,227,100
2021,228,100
2021,229,100
2021,230,100
2021,231,99.85
2021,232,97.85
2021,233,100
2021,234,106.95
2021,235,108.97
2021,236,101.85
2021,237,101.17
2021,238,100
2021,239,90
2021,240,95.98
2021,241,77.93
2021,242,69.55
2021,243,65
2021,244,60
2021,245,61.1
2021,246,69.51
2021,247,86.93
2021,248,103.54
2021,249,110.45
2021,250,110
2021,251,110.45
2021,252,110
2021,253,110
2021,254,107.75
2021,255,100.98
2021,256,100.36
2021,257,110
2021,258,113.37
2021,259,114.89
2021,260,110
2021,261,110
2021,262,97.45
2021,263,74.49
2021,264,70.17
2021,265,61.64
2021,266,55.96
2021,267,51.88
2021,268,50.25
2021,269,50.25
2021,270,51.39
2021,271,55.62
2021,272,60.39
2021,273,72.03
2021,274,92.01
2021,275,95.98
2021,276,75.02
2021,277,75.03
2021,278,76.64
2021,279,72.85
2021,280,75.5
2021,281,100
2021,282,114.89
2021,283,120
2021,284,121.24
2021,285,120.69
2021,286,115
2021,287,101.41
2021,288,62
2021,289,55.75
2021,290,53.14
2021,291,49.03
2021,292,48.45
2021,293,49.07
2021,294,50.87
2021,295,50.23
2021,296,51.6
2021,297,57.43
2021,298,60.9
2021,299,61.53
2021,300,60.39
2021,301,56.41
2021,302,56.99
2021,303,56.41
2021,304,56.52
2021,305,62.6
2021,306,95
2021,307,107.75
2021,308,110.29
2021,309,110
2021,310,100.36
2021,311,67.78
2021,312,58.25
2021,313,53.19
2021,314,50.87
2021,315,47.69
2021,316,46.36
2021,317,52.3
2021,318,62.51
2021,319,77.9
2021,320,95.98
2021,321,98.42
2021,322,95.98
2021,323,83.35
2021,324,80
2021,325,80.98
2021,326,77.75
2021,327,75.02
2021,328,83.35
2021,329,98.13
2021,330,109.37
2021,331,120
2021,332,121.14
2021,333,120
2021,334,105
2021,335,85.26
2021,336,75.32
2021,337,62.5
2021,338,56.5
2021,339,55.68
2021,340,55.18
2021,341,56.01
2021,342,66.64
2021,343,84.05
2021,344,98.42
2021,345,103.04
2021,346,100.69
2021,347,98.13
2021,348,94.05
2021,349,94.05
2021,350,88.61
2021,351,74.37
2021,352,75.03
2021,353,88.05
2021,354,102.05
2021,355,110.89
2021,356,114.02
2021,357,107.99
2021,358,90
2021,359,70.61
2021,360,74.91
2021,361,72.5
2021,362,65
2021,363,63
2021,364,61.35
2021,365,64.85
2021,366,74.01
2021,367,89
2021,368,97.48
2021,369,99
2021,370,98.37
2021,371,97.84
2021,372,97.12
2021,373,97.12
2021,374,97.48
2021,375,97.12
2021,376,98.37
2021,377,100.44
2021,378,102.03
2021,379,109.42
2021,380,112.84
2021,381,103.75
2021,382,100.44
2021,383,85.01
2021,384,95
2021,385,70.35
2021,386,67.65
2021,387,62.15
2021,388,60
2021,389,60.39
2021,390,67.65
2021,391,83.22
2021,392,95
2021,393,98.13
2021,394,97
2021,395,95
2021,396,88.75
2021,397,88.31
2021,398,88.75
2021,399,82.87
2021,400,88.75
2021,401,95.98
2021,402,100.17
2021,403,103.68
2021,404,107.72
2021,405,102.89
2021,406,99.05
2021,407,95.59
2021,408,68.85
2021,409,60
2021,410,55.48
2021,411,54.6
2021,412,52.7
2021,413,54.4
2021,414,62.97
2021,415,77.94
2021,416,90.04
2021,417,97.76
2021,418,90.69
2021,419,86.97
2021,420,79.25
2021,421,76.64
2021,422,77.14
