,,PDemand,QDemand
2021,0,6.5,16.33
2021,1,6.47,16.58
2021,2,6.49,16.39
2021,3,6.51,15.91
2021,4,6.48,16.05
2021,5,6.47,16.28
2021,6,6.45,15.41
2021,7,6.42,15.29
2021,8,6.36,14.64
2021,9,6.41,15.23
2021,10,6.54,16.14
2021,11,6.47,16.51
2021,12,6.56,17.39
2021,13,6.57,17.57
2021,14,6.62,17.92
2021,15,6.68,17.27
2021,16,6.68,16.87
2021,17,6.22,15.99
2021,18,5.66,12.89
2021,19,6.19,11.21
2021,20,6.67,10.84
2021,21,6.59,14.09
2021,22,6.5,14.76
2021,23,6.49,15.13
2021,24,6.5,16.33
2021,25,6.47,16.58
2021,26,6.49,16.39
2021,27,6.51,15.91
2021,28,6.48,16.05
2021,29,6.47,16.28
2021,30,6.49,16.97
2021,31,6.5,16.52
2021,32,6.47,16.77
2021,33,6.51,17.52
2021,34,6.45,17.34
2021,35,6.38,16.98
2021,36,6.59,16.78
2021,37,6.65,17.37
2021,38,6.68,17.28
2021,39,6.5,13.73
2021,40,6.6,15.14
2021,41,6.66,17.1
2021,42,6.66,15.69
2021,43,6.61,15.85
2021,44,6.63,15.31
2021,45,6.59,16.6
2021,46,6.51,16.1
2021,47,6.5,16.77
2021,48,6.52,17.22
2021,49,6.49,17.4
2021,50,6.53,16.8
2021,51,6.41,16.67
2021,52,6.47,16.24
2021,53,6.53,16.82
2021,54,6.45,16.16
2021,55,6.51,16.54
2021,56,6.51,17.33
2021,57,6.5,17.65
2021,58,6.53,18.94
2021,59,6.59,17.47
2021,60,6.73,17.56
2021,61,6.78,17.35
2021,62,6.8,17.69
2021,63,6.79,17.39
2021,64,6.84,16.96
2021,65,6.84,16.1
2021,66,6.82,15.06
2021,67,6.72,14.23
2021,68,6.81,14.2
2021,69,6.72,14.18
2021,70,6.66,13.89
2021,71,6.63,16.41
2021,72,6.63,16.37
2021,73,6.61,15.54
2021,74,6.7,16.03
2021,75,6.64,15.55
2021,76,6.59,16.01
2021,77,6.56,16.13
2021,78,6.58,16.31
2021,79,6.54,16.81
2021,80,6.62,16.43
2021,81,6.57,17.01
2021,82,6.61,17.94
2021,83,6.63,18.96
2021,84,6.67,18.66
2021,85,6.77,17.65
2021,86,6.74,16.84
2021,87,6.74,16.38
2021,88,6.73,15.85
2021,89,6.67,16.28
2021,90,6.76,14.17
2021,91,6.78,15.32
2021,92,6.73,13.2
2021,93,6.69,15.92
2021,94,6.6,16.01
2021,95,6.61,16.43
2021,96,6.63,16.74
2021,97,6.61,16.93
2021,98,6.72,17.43
2021,99,6.67,16.96
2021,100,6.66,16.9
2021,101,6.6,17.51
2021,102,6.58,17.44
2021,103,6.55,17.37
2021,104,6.58,16.69
2021,105,6.55,16.94
2021,106,6.53,17.64
2021,107,6.55,18.18
2021,108,6.61,18.86
2021,109,6.72,19.24
2021,110,6.67,19.41
2021,111,6.69,18.61
2021,112,6.71,18.93
2021,113,6.71,17.94
2021,114,6.72,17.23
2021,115,6.7,16.7
2021,116,6.68,17.49
2021,117,6.64,16.13
2021,118,6.6,14.75
2021,119,6.6,16.71
2021,120,6.59,17.03
2021,121,6.59,16.17
2021,122,6.6,16.97
2021,123,6.57,16.9
2021,124,6.58,17.82
2021,125,6.6,15.57
2021,126,6.57,16.46
2021,127,6.6,16.56
2021,128,6.58,17.08
2021,129,6.56,17.64
2021,130,6.57,18.41
2021,131,6.58,18.32
2021,132,6.67,18.76
2021,133,6.69,18.7
2021,134,6.61,18.5
2021,135,6.68,18.26
2021,136,6.72,18.31
2021,137,6.68,18.1
2021,138,6.69,16.6
2021,139,6.66,16.25
2021,140,6.7,15.9
2021,141,6.65,16.37
2021,142,6.61,16.68
2021,143,6.64,17.22
2021,144,6.65,16.9
2021,145,6.6,18.37
2021,146,6.58,18.01
2021,147,6.61,16.97
2021,148,6.64,16.87
2021,149,6.56,16.65
2021,150,6.56,16.85
2021,151,6.7,16.52
2021,152,6.67,13.47
2021,153,6.61,14.5
2021,154,6.57,17.94
2021,155,6.55,18.52
2021,156,6.71,19.21
2021,157,6.68,18.44
2021,158,6.68,18.95
2021,159,6.71,19.4
2021,160,6.74,18.83
2021,161,6.76,17.65
2021,162,6.76,15.42
2021,163,6.73,16.4
2021,164,6.72,16.05
2021,165,6.65,17.99
2021,166,6.68,16.41
2021,167,6.66,17.59
2021,168,6.6,15.93
2021,169,6.6,16.84
2021,170,6.64,17.28
2021,171,6.63,16.78
2021,172,6.62,16.94
2021,173,6.6,16.18
2021,174,6.58,16.98
2021,175,6.59,16.9
2021,176,6.6,17.39
2021,177,6.59,17.72
2021,178,6.62,17.47
2021,179,6.64,16.74
2021,180,6.69,16.93
2021,181,6.7,16.86
2021,182,6.72,17.44
2021,183,6.69,17.77
2021,184,6.75,17.59
2021,185,6.73,15.12
2021,186,6.74,13.61
2021,187,6.72,13.64
2021,188,6.77,13.9
2021,189,6.7,14.24
2021,190,6.65,13.94
2021,191,6.63,13.84
2021,192,6.61,13.92
2021,193,6.62,13.51
2021,194,6.63,13.83
2021,195,6.62,14.12
2021,196,6.6,14.07
2021,197,6.64,14.04
2021,198,6.58,14.38
2021,199,6.59,13.85
2021,200,6.59,14.71
2021,201,6.58,14.9
2021,202,6.69,16.68
2021,203,6.58,17.89
2021,204,6.64,16.4
2021,205,6.64,17.71
2021,206,6.73,17.44
2021,207,6.79,17.76
2021,208,6.79,18.78
2021,209,6.78,19.22
2021,210,6.85,17.09
2021,211,6.8,17.25
2021,212,6.82,18.2
2021,213,6.72,19.44
2021,214,6.64,19.15
2021,215,6.65,18.65
2021,216,6.65,17.93
2021,217,6.55,18.53
2021,218,6.61,18.44
2021,219,6.57,18.17
2021,220,6.65,18.21
2021,221,6.59,17.98
2021,222,6.61,18.07
2021,223,6.62,18.43
2021,224,6.63,17.76
2021,225,6.61,18.38
2021,226,6.64,18.61
2021,227,6.63,18.46
2021,228,6.73,17.73
2021,229,6.64,17.43
2021,230,6.64,16.86
2021,231,6.68,17.61
2021,232,6.69,16.92
2021,233,6.64,17.85
2021,234,6.64,15.86
2021,235,6.66,16.92
2021,236,6.69,16.97
2021,237,6.61,16.94
2021,238,6.58,16.89
2021,239,6.57,16.69
2021,240,6.54,16.86
2021,241,6.56,16.44
2021,242,6.39,16.87
2021,243,6.58,16.38
2021,244,6.55,16.14
2021,245,6.54,15.84
2021,246,6.59,14.81
2021,247,6.54,16.44
2021,248,6.54,16.52
2021,249,6.55,17.55
2021,250,6.58,17.94
2021,251,6.54,18.53
2021,252,6.65,17.85
2021,253,6.61,17.8
2021,254,6.68,19.2
2021,255,6.68,19.35
2021,256,6.67,19.15
2021,257,6.67,19.06
2021,258,6.63,19.12
2021,259,6.67,17.15
2021,260,6.66,18.33
2021,261,6.65,18.61
2021,262,6.57,18.74
2021,263,6.61,18.34
2021,264,6.61,18.48
2021,265,6.61,18.47
2021,266,6.59,19.07
2021,267,6.59,18.66
2021,268,6.55,18.16
2021,269,6.65,18.15
2021,270,6.6,18.76
2021,271,6.57,18.44
2021,272,6.65,18.35
2021,273,6.66,18.74
2021,274,6.68,19
2021,275,6.65,19.3
2021,276,6.63,20.02
2021,277,6.65,20
2021,278,6.74,19.88
2021,279,6.75,19.76
2021,280,6.78,19.97
2021,281,6.79,18.62
2021,282,6.76,17.6
2021,283,6.68,17.6
2021,284,6.67,16.58
2021,285,6.63,17.04
2021,286,6.63,17.19
2021,287,6.66,18.34
2021,288,6.63,17.77
2021,289,6.62,16.72
2021,290,6.57,14.66
2021,291,6.66,16.04
2021,292,6.6,15.49
2021,293,6.57,15.23
2021,294,6.56,16.43
2021,295,6.62,15.81
2021,296,6.65,15.63
2021,297,6.54,15.78
2021,298,6.54,17.55
2021,299,6.48,17.26
2021,300,6.46,17.75
2021,301,6.51,19.46
2021,302,6.52,18.21
2021,303,6.67,19.46
2021,304,6.66,19.45
2021,305,6.65,18.78
2021,306,6.66,16.45
2021,307,6.63,18.17
2021,308,6.64,17.21
2021,309,6.64,16.54
2021,310,6.48,17.15
2021,311,6.53,15.66
2021,312,6.55,16.41
2021,313,6.52,17.89
2021,314,6.5,18.5
2021,315,6.46,17.93
2021,316,6.53,17.78
2021,317,6.46,16.91
2021,318,6.55,17.39
2021,319,6.72,17.62
2021,320,6.55,19.02
2021,321,6.5,19.69
2021,322,6.52,19.56
2021,323,6.57,19.58
2021,324,6.7,18.48
2021,325,6.71,19.19
2021,326,6.78,19.12
2021,327,6.68,19.88
2021,328,6.7,20.29
2021,329,6.79,19.6
2021,330,6.79,18.05
2021,331,6.78,16.77
2021,332,6.73,16.85
2021,333,6.68,15.75
2021,334,6.65,15.2
2021,335,6.6,16.31
2021,336,6.59,15.93
2021,337,6.6,16.84
2021,338,6.55,16.36
2021,339,6.59,14.81
2021,340,6.61,15.81
2021,341,6.55,16.89
2021,342,6.59,17.32
2021,343,6.56,17.32
2021,344,6.58,16.07
2021,345,6.56,16.69
2021,346,6.55,17.32
2021,347,6.61,17.68
2021,348,6.65,17.7
2021,349,6.74,18.11
2021,350,6.82,18.03
2021,351,6.85,19.06
2021,352,6.8,18.35
2021,353,6.75,15.75
2021,354,6.79,15.02
2021,355,6.76,14.21
2021,356,6.71,15.86
2021,357,6.65,16.73
2021,358,6.59,16.76
2021,359,6.56,16.12
2021,360,6.5,12.41
2021,361,6.51,15.78
2021,362,6.51,16.58
2021,363,6.5,17.06
2021,364,6.42,17.11
2021,365,6.57,16.61
2021,366,6.68,17.29
2021,367,6.77,17.35
