,,Price
2021,0,50.87
2021,1,48.19
2021,2,44.68
2021,3,38.5
2021,4,36.8
2021,5,36.55
2021,6,36.6
2021,7,36.55
2021,8,36.55
2021,9,36.55
2021,10,37.55
2021,11,37.55
2021,12,37.55
2021,13,37.55
2021,14,36.6
2021,15,35.5
2021,16,36
2021,17,38.5
2021,18,52.01
2021,19,55.16
2021,20,57.4
2021,21,53.86
2021,22,53.45
2021,23,49.72
2021,24,46.69
2021,25,42.43
2021,26,40.1
2021,27,39.11
2021,28,37.55
2021,29,37.7
2021,30,39.6
2021,31,43.34
2021,32,48.45
2021,33,51.6
2021,34,52
2021,35,51.25
2021,36,50.56
2021,37,50.57
2021,38,50.57
2021,39,48.45
2021,40,50.25
2021,41,54.23
2021,42,58.65
2021,43,60.43
2021,44,60.03
2021,45,55.03
2021,46,52.25
2021,47,48.45
2021,48,46.11
2021,49,43
2021,50,39.55
2021,51,37.44
2021,52,35.64
2021,53,35.5
2021,54,36.14
2021,55,36.97
2021,56,38.92
2021,57,44.49
2021,58,49
2021,59,50.3
2021,60,48
2021,61,46.64
2021,62,44.01
2021,63,41.27
2021,64,49.92
2021,65,55.16
2021,66,59.29
2021,67,61.09
2021,68,60
2021,69,59.4
2021,70,55.36
2021,71,53.06
2021,72,50.23
2021,73,47.01
2021,74,43.79
2021,75,41.65
2021,76,41.62
2021,77,44.5
2021,78,56
2021,79,62
2021,80,64.84
2021,81,68.25
2021,82,65.97
2021,83,63.93
2021,84,63.94
2021,85,63.94
2021,86,61.97
2021,87,62.45
2021,88,63.9
2021,89,67.02
2021,90,71.05
2021,91,72.6
2021,92,70
2021,93,66
2021,94,62.48
2021,95,61.25
2021,96,64.68
2021,97,56.25
2021,98,51.86
2021,99,50.91
2021,100,50.56
2021,101,51.25
2021,102,58.45
2021,103,68.3
2021,104,70.41
2021,105,75
2021,106,73.48
2021,107,72.31
2021,108,71.35
2021,109,72.52
2021,110,69.75
2021,111,68.29
2021,112,69.75
2021,113,71.9
2021,114,80
2021,115,80
2021,116,75.99
2021,117,75.39
2021,118,72.69
2021,119,70
2021,120,69.02
2021,121,67.54
2021,122,60.39
2021,123,55.75
2021,124,55.16
2021,125,53.51
2021,126,55.18
2021,127,67.61
2021,128,70
2021,129,73.54
2021,130,75.95
2021,131,77.18
2021,132,77.01
2021,133,73.79
2021,134,73.02
2021,135,70.89
2021,136,72.85
2021,137,78
2021,138,83.35
2021,139,90
2021,140,79.6
2021,141,75.4
2021,142,72.1
2021,143,67.54
2021,144,77
2021,145,65.85
2021,146,63.78
2021,147,59.31
2021,148,58
2021,149,60.65
2021,150,65
2021,151,83.98
2021,152,95.02
2021,153,99
2021,154,100
2021,155,100
2021,156,100
2021,157,100
2021,158,100
2021,159,99.85
2021,160,97.85
2021,161,100
2021,162,106.95
2021,163,108.97
2021,164,101.85
2021,165,101.17
2021,166,100
2021,167,90
2021,168,95.98
2021,169,77.93
2021,170,69.55
2021,171,65
2021,172,60
2021,173,61.1
2021,174,69.51
2021,175,86.93
2021,176,103.54
2021,177,110.45
2021,178,110
2021,179,110.45
2021,180,110
2021,181,110
2021,182,107.75
2021,183,100.98
2021,184,100.36
2021,185,110
2021,186,113.37
2021,187,114.89
2021,188,110
2021,189,110
2021,190,97.45
2021,191,74.49
2021,192,70.17
2021,193,61.64
2021,194,55.96
2021,195,51.88
2021,196,50.25
2021,197,50.25
2021,198,51.39
2021,199,55.62
2021,200,60.39
2021,201,72.03
2021,202,92.01
2021,203,95.98
2021,204,75.02
2021,205,75.03
2021,206,76.64
2021,207,72.85
2021,208,75.5
2021,209,100
2021,210,114.89
2021,211,120
2021,212,121.24
2021,213,120.69
2021,214,115
2021,215,101.41
2021,216,62
2021,217,55.75
2021,218,53.14
2021,219,49.03
2021,220,48.45
2021,221,49.07
2021,222,50.87
2021,223,50.23
2021,224,51.6
2021,225,57.43
2021,226,60.9
2021,227,61.53
2021,228,60.39
2021,229,56.41
2021,230,56.99
2021,231,56.41
2021,232,56.52
2021,233,62.6
2021,234,95
2021,235,107.75
2021,236,110.29
2021,237,110
2021,238,100.36
2021,239,67.78
2021,240,58.25
2021,241,53.19
2021,242,50.87
2021,243,47.69
2021,244,46.36
2021,245,52.3
2021,246,62.51
2021,247,77.9
2021,248,95.98
2021,249,98.42
2021,250,95.98
2021,251,83.35
2021,252,80
2021,253,80.98
2021,254,77.75
2021,255,75.02
2021,256,83.35
2021,257,98.13
2021,258,109.37
2021,259,120
2021,260,121.14
2021,261,120
2021,262,105
2021,263,85.26
2021,264,75.32
2021,265,62.5
2021,266,56.5
2021,267,55.68
2021,268,55.18
2021,269,56.01
2021,270,66.64
2021,271,84.05
2021,272,98.42
2021,273,103.04
2021,274,100.69
2021,275,98.13
2021,276,94.05
2021,277,94.05
2021,278,88.61
2021,279,74.37
2021,280,75.03
2021,281,88.05
2021,282,102.05
2021,283,110.89
2021,284,114.02
2021,285,107.99
2021,286,90
2021,287,70.61
2021,288,74.91
2021,289,72.5
2021,290,65
2021,291,63
2021,292,61.35
2021,293,64.85
2021,294,74.01
2021,295,89
2021,296,97.48
2021,297,99
2021,298,98.37
2021,299,97.84
2021,300,97.12
2021,301,97.12
2021,302,97.48
2021,303,97.12
2021,304,98.37
2021,305,100.44
2021,306,102.03
2021,307,109.42
2021,308,112.84
2021,309,103.75
2021,310,100.44
2021,311,85.01
2021,312,95
2021,313,70.35
2021,314,67.65
2021,315,62.15
2021,316,60
2021,317,60.39
2021,318,67.65
2021,319,83.22
2021,320,95
2021,321,98.13
2021,322,97
2021,323,95
2021,324,88.75
2021,325,88.31
2021,326,88.75
2021,327,82.87
2021,328,88.75
2021,329,95.98
2021,330,100.17
2021,331,103.68
2021,332,107.72
2021,333,102.89
2021,334,99.05
2021,335,95.59
2021,336,68.85
2021,337,60
2021,338,55.48
2021,339,54.6
2021,340,52.7
2021,341,54.4
2021,342,62.97
2021,343,77.94
2021,344,90.04
2021,345,97.76
2021,346,90.69
2021,347,86.97
2021,348,79.25
2021,349,76.64
2021,350,77.14
2021,351,76.98
2021,352,82
2021,353,88.22
2021,354,98.02
2021,355,96.01
2021,356,98.02
2021,357,94.29
2021,358,84.12
2021,359,79
2021,360,64.37
2021,361,59.91
2021,362,55.1
2021,363,52.2
2021,364,52
2021,365,52
2021,366,53.56
2021,367,54.3
2021,368,61.96
2021,369,66.69
2021,370,70.09
2021,371,69.05
2021,372,68.05
2021,373,66.69
2021,374,67.54
2021,375,65.5
2021,376,66.69
2021,377,70.09
2021,378,83.94
2021,379,88.82
2021,380,93.79
2021,381,89.03
2021,382,83.67
2021,383,70.24
2021,384,66.05
2021,385,60
2021,386,55.25
2021,387,55
2021,388,54.99
2021,389,54.99
2021,390,54.99
2021,391,55.25
2021,392,55.68
2021,393,59.69
2021,394,61.17
2021,395,62.4
2021,396,63.45
2021,397,61.75
2021,398,61.69
2021,399,55.18
2021,400,60.6
2021,401,67.05
2021,402,72
2021,403,82.01
2021,404,86.6
2021,405,87.84
2021,406,83.67
2021,407,70.97
2021,408,81.28
2021,409,79.53
2021,410,72.05
2021,411,70.5
2021,412,70
2021,413,74.69
2021,414,77.84
2021,415,80.22
2021,416,83.59
2021,417,85.66
2021,418,83.05
2021,419,77.84
2021,420,77.69
2021,421,76.59
2021,422,73.22
2021,423,72.05
2021,424,75.84
2021,425,82.89
2021,426,92.81
2021,427,110.9
2021,428,115.98
2021,429,99.01
2021,430,83.39
2021,431,73.21
2021,432,84.05
2021,433,70.79
2021,434,63.05
2021,435,59.5
2021,436,58.22
2021,437,59.35
2021,438,61.8
2021,439,74.39
2021,440,91.2
2021,441,93.72
2021,442,91.79
2021,443,86.48
2021,444,84
2021,445,80
2021,446,74.29
2021,447,70.9
2021,448,73.35
2021,449,78.49
2021,450,84.69
2021,451,91.2
2021,452,91.97
2021,453,84.69
2021,454,69.05
2021,455,58.2
2021,456,50.15
2021,457,44.7
2021,458,40.25
2021,459,38.49
2021,460,29.67
2021,461,36.65
2021,462,44.97
2021,463,56.12
2021,464,60.69
2021,465,64.05
2021,466,63.83
2021,467,59.64
2021,468,55.01
2021,469,51.6
2021,470,49.86
2021,471,44.95
2021,472,48.03
2021,473,54.01
2021,474,58.2
2021,475,64.69
2021,476,67.9
2021,477,62.69
2021,478,51.05
2021,479,42.7
2021,480,30.7
2021,481,21.12
2021,482,11.19
2021,483,3.67
2021,484,3.15
2021,485,16.77
2021,486,37.5
2021,487,49.52
2021,488,56.3
2021,489,58.75
2021,490,55.84
2021,491,54.28
2021,492,50.56
2021,493,49.72
2021,494,43.73
2021,495,46.9
2021,496,47.34
2021,497,50.87
2021,498,55.84
2021,499,57.26
2021,500,55.16
2021,501,51.79
2021,502,48.97
2021,503,42.4
2021,504,35.95
2021,505,28.95
2021,506,25.71
2021,507,23.96
2021,508,23.03
2021,509,27.45
2021,510,29.85
2021,511,41.05
2021,512,51.01
2021,513,53.5
2021,514,51.05
2021,515,47.29
2021,516,44.01
2021,517,42.6
2021,518,37.5
2021,519,37.5
2021,520,39.3
2021,521,48.69
2021,522,54.82
2021,523,57.24
2021,524,55.59
2021,525,52.91
2021,526,51.79
2021,527,46.64
2021,528,32.6
2021,529,25
2021,530,14
2021,531,11.96
2021,532,10.25
2021,533,10.25
2021,534,14
2021,535,18.4
2021,536,23.27
2021,537,27.05
2021,538,32.05
2021,539,30.98
2021,540,27.51
2021,541,29.05
2021,542,29.05
2021,543,25
2021,544,25
2021,545,26.7
2021,546,32.8
2021,547,43.64
2021,548,49.29
2021,549,49.98
2021,550,40
2021,551,32.05
2021,552,21.2
2021,553,12
2021,554,3.5
2021,555,1.95
2021,556,1.95
2021,557,3.5
2021,558,8.67
2021,559,13.99
2021,560,19.05
2021,561,26.05
2021,562,30
2021,563,29.8
2021,564,29.05
2021,565,29.6
2021,566,29.8
2021,567,29.4
2021,568,29.8
2021,569,43.05
2021,570,52.87
2021,571,57.33
2021,572,59.26
2021,573,55.76
2021,574,53.93
2021,575,47.89
2021,576,46.62
2021,577,43.09
2021,578,36.6
2021,579,32.4
2021,580,32.14
2021,581,36.6
2021,582,51.23
2021,583,59.74
2021,584,72.03
2021,585,75.04
2021,586,74.95
2021,587,70.53
2021,588,69.02
2021,589,67
2021,590,63.24
2021,591,61.58
2021,592,64.83
2021,593,69.29
2021,594,73.88
2021,595,74.86
2021,596,70.22
2021,597,68.25
2021,598,58.4
2021,599,54.5
2021,600,57.69
2021,601,52.56
2021,602,51.41
2021,603,48.8
2021,604,48.6
2021,605,51.42
2021,606,59.53
2021,607,69.05
2021,608,73.95
2021,609,79.68
2021,610,73.91
2021,611,72
2021,612,70
2021,613,68.74
2021,614,68.09
2021,615,68.15
2021,616,68.75
2021,617,73.73
2021,618,82.04
2021,619,75.5
2021,620,74.61
2021,621,71.27
2021,622,66.83
2021,623,57.16
2021,624,49.24
2021,625,44.97
2021,626,43.32
2021,627,42.04
2021,628,42.27
2021,629,44.93
2021,630,51.25
2021,631,65.43
2021,632,67.38
2021,633,70.67
2021,634,68.2
2021,635,67.58
2021,636,65.78
2021,637,64.28
2021,638,62.97
2021,639,63.65
2021,640,65.9
2021,641,68.17
2021,642,70.48
2021,643,70.6
2021,644,67.33
2021,645,64.94
2021,646,60.64
2021,647,52.56
2021,648,46.87
2021,649,44.93
2021,650,43.83
2021,651,42.4
2021,652,43.64
2021,653,44.41
2021,654,53.14
2021,655,63.26
2021,656,65.41
2021,657,66.1
2021,658,64.98
2021,659,64
2021,660,60.74
2021,661,59.31
2021,662,56.35
2021,663,53.2
2021,664,55.03
2021,665,60.49
2021,666,63.33
2021,667,63.74
2021,668,59.68
2021,669,58
2021,670,51.02
2021,671,45.51
2021,672,42.71
2021,673,38.25
2021,674,33.66
2021,675,29.99
2021,676,29
2021,677,33
2021,678,45
2021,679,55.34
2021,680,58.6
2021,681,58.89
2021,682,56.87
2021,683,54.67
2021,684,53.2
2021,685,49.01
2021,686,45.33
2021,687,44.85
2021,688,48.85
2021,689,54.68
2021,690,60.79
2021,691,59.38
2021,692,54.34
2021,693,50.03
2021,694,45.9
2021,695,35
2021,696,12.97
2021,697,5.1
2021,698,2.4
2021,699,1.95
2021,700,1.95
2021,701,1.95
2021,702,1.95
2021,703,1.95
2021,704,1.95
2021,705,4
2021,706,5.1
2021,707,1.95
2021,708,1.95
2021,709,1.95
2021,710,1.95
2021,711,1.95
2021,712,1.95
2021,713,1.95
2021,714,5.1
2021,715,8.4
2021,716,14
2021,717,10.99
2021,718,5.1
2021,719,1.95
2021,720,1.95
2021,721,1.9
2021,722,1
2021,723,0.16
2021,724,0.16
2021,725,0.16
2021,726,0.16
2021,727,0.16
2021,728,0.16
2021,729,1
2021,730,1.95
2021,731,1.95
2021,732,1.95
2021,733,1.95
2021,734,1.95
2021,735,1.94
2021,736,1.9
2021,737,1.95
2021,738,1.95
2021,739,1.95
2021,740,1.96
2021,741,1.96
2021,742,1.95
2021,743,1.95
2021,744,1.94
2021,745,0.56
2021,746,0.16
2021,747,0.16
2021,748,0.16
2021,749,1.59
2021,750,1.95
2021,751,5.98
2021,752,17.56
2021,753,23.05
2021,754,18.15
2021,755,10.33
2021,756,5.02
2021,757,3.5
2021,758,1.95
2021,759,3.5
2021,760,6.5
2021,761,10.67
2021,762,25
2021,763,36.6
2021,764,39.3
2021,765,36.21
2021,766,23.15
2021,767,12.55
2021,768,10.25
2021,769,8.5
2021,770,6.1
2021,771,3.19
2021,772,3.19
2021,773,5.7
2021,774,8.98
2021,775,28.79
2021,776,36.84
2021,777,39.01
2021,778,37.8
2021,779,36.53
2021,780,35.4
2021,781,35.1
2021,782,31.05
2021,783,29.39
2021,784,31.05
2021,785,34
2021,786,37.62
2021,787,47
2021,788,47
2021,789,37.62
2021,790,27.99
2021,791,14
2021,792,20.6
2021,793,18.3
2021,794,8.67
2021,795,7.96
2021,796,6.4
2021,797,12.14
2021,798,20.94
2021,799,37.5
2021,800,43.09
2021,801,46.5
2021,802,47.51
2021,803,45.51
2021,804,44.15
2021,805,46.05
2021,806,43.09
2021,807,41.15
2021,808,42.01
2021,809,48.01
2021,810,53.25
2021,811,53.2
2021,812,53.23
2021,813,49.2
2021,814,43.52
2021,815,38.32
2021,816,37.35
2021,817,35.49
2021,818,34.58
2021,819,33.5
2021,820,35.2
2021,821,39.37
2021,822,48.32
2021,823,57.15
2021,824,59.19
2021,825,60
2021,826,59.18
2021,827,56.54
2021,828,56.09
2021,829,55.69
2021,830,56.56
2021,831,58.15
2021,832,59.42
2021,833,61.16
2021,834,66.05
2021,835,67.51
2021,836,59.39
2021,837,56.09
2021,838,52.7
2021,839,48.05
2021,840,45.57
2021,841,44.01
2021,842,42.24
2021,843,41.2
2021,844,40.52
2021,845,43.36
