,,Price
2023,0,0
2023,1,0
2023,2,0
2023,3,0
2023,4,0
2023,5,0
2023,6,0
2023,7,0
2023,8,0
2023,9,0
2023,10,0
2023,11,0
2023,12,0
2023,13,0.1
2023,14,0.1
2023,15,0.01
2023,16,1
2023,17,4.16
2023,18,15.1
2023,19,19.51
2023,20,24.61
2023,21,40.07
2023,22,40.07
2023,23,16
2023,24,61.38
2023,25,42.17
2023,26,42
2023,27,42.07
2023,28,42.17
2023,29,63.22
2023,30,85
2023,31,105.36
2023,32,131
2023,33,131.58
2023,34,127
2023,35,126.07
2023,36,127
2023,37,130
2023,38,131
2023,39,128
2023,40,131.88
2023,41,160
2023,42,174.74
2023,43,165.76
2023,44,153
2023,45,141.67
2023,46,134.91
2023,47,124.22
2023,48,130.01
2023,49,120
2023,50,118.76
2023,51,115
2023,52,113.63
2023,53,116.27
2023,54,138.92
2023,55,155.59
2023,56,169.17
2023,57,171.18
2023,58,154.9
2023,59,146.71
2023,60,133.33
2023,61,130
2023,62,126
2023,63,120
2023,64,135.56
2023,65,156.3
2023,66,169.01
2023,67,160.99
2023,68,152.1
2023,69,149.92
2023,70,132.53
2023,71,115
2023,72,119.99
2023,73,100
2023,74,90.23
2023,75,84.2
2023,76,80.23
2023,77,87.31
2023,78,109
2023,79,105.1
2023,80,134.16
2023,81,129.3
2023,82,120.7
2023,83,96.77
2023,84,105.03
2023,85,106
2023,86,105.07
2023,87,103.9
2023,88,107.98
2023,89,129.82
2023,90,167.29
2023,91,160.6
2023,92,151.55
2023,93,140.61
2023,94,126.58
2023,95,104.75
2023,96,95.05
2023,97,79.21
2023,98,68.07
2023,99,64.27
2023,100,61.97
2023,101,65.1
2023,102,95.05
2023,103,108.23
2023,104,135
2023,105,123.27
2023,106,104.97
2023,107,113.53
2023,108,100.82
2023,109,96.44
2023,110,93.9
2023,111,91.16
2023,112,94.43
2023,113,118.9
2023,114,163.2
2023,115,177.98
2023,116,163.99
2023,117,152
2023,118,135
2023,119,118.9
2023,120,107.21
2023,121,101.1
2023,122,96.73
2023,123,81.37
2023,124,75.75
2023,125,81
2023,126,97.45
2023,127,107.82
2023,128,122.8
2023,129,125
2023,130,120.7
2023,131,110.05
2023,132,103.36
2023,133,90.23
2023,134,80.23
2023,135,70
2023,136,80.43
2023,137,121.2
2023,138,128.47
2023,139,137.73
2023,140,137.73
2023,141,132
2023,142,99.9
2023,143,91.1
2023,144,53.42
2023,145,40.3
2023,146,25.5
2023,147,24.8
2023,148,20
2023,149,14.85
2023,150,14.85
2023,151,14
2023,152,18.28
2023,153,20.2
2023,154,18.28
2023,155,14
2023,156,10.35
2023,157,8
2023,158,5.46
2023,159,4.16
2023,160,8
2023,161,24.61
2023,162,40
2023,163,43.45
2023,164,50
2023,165,43.45
2023,166,30
2023,167,24.61
2023,168,7
2023,169,5
2023,170,4.2
2023,171,4.16
2023,172,4.16
2023,173,4.16
2023,174,4.16
2023,175,4.16
2023,176,4.16
2023,177,5
2023,178,5.1
2023,179,5.05
2023,180,4.9
2023,181,5
2023,182,4.6
2023,183,4.2
2023,184,4.6
2023,185,7.1
2023,186,17.8
2023,187,24.61
2023,188,40
2023,189,40
2023,190,21.94
2023,191,15.7
2023,192,5.1
2023,193,4.2
2023,194,4.2
2023,195,4.2
2023,196,4.6
2023,197,5.5
2023,198,24.61
2023,199,80
2023,200,118
2023,201,121.16
2023,202,119.58
2023,203,115
2023,204,106
2023,205,91.84
2023,206,81.28
2023,207,72.32
2023,208,99.1
2023,209,130.26
2023,210,161.5
2023,211,171.62
2023,212,161.21
2023,213,139.16
2023,214,132
2023,215,106.34
2023,216,105.98
2023,217,96.79
2023,218,95.31
2023,219,90.19
2023,220,93
2023,221,98
2023,222,117.67
2023,223,132.67
2023,224,141.84
2023,225,141.44
2023,226,125.3
2023,227,101
2023,228,97.6
2023,229,95.5
2023,230,92.6
2023,231,92
2023,232,98
2023,233,133.28
2023,234,144.74
2023,235,141.07
2023,236,124.84
2023,237,109.65
2023,238,92.8
2023,239,64.3
2023,240,35
2023,241,8
2023,242,4.16
2023,243,4.16
2023,244,4.16
2023,245,5.53
2023,246,64.37
2023,247,99.99
2023,248,139.02
2023,249,138.67
2023,250,130
2023,251,107.35
2023,252,95.96
2023,253,84.77
2023,254,66.02
2023,255,62.87
2023,256,85.15
2023,257,130
2023,258,134.95
2023,259,131.96
2023,260,136.65
2023,261,135.07
2023,262,115.16
2023,263,93.08
2023,264,69.5
2023,265,56.6
2023,266,56
2023,267,56
2023,268,55.7
2023,269,56.6
2023,270,91.12
2023,271,118.91
2023,272,122.1
2023,273,120
2023,274,102.84
2023,275,98.6
2023,276,85.67
2023,277,81.59
2023,278,70.34
2023,279,70.76
2023,280,94.18
2023,281,120.63
2023,282,132.89
2023,283,141.43
2023,284,142.22
2023,285,114.74
2023,286,104.79
2023,287,61.32
2023,288,59.83
2023,289,44.2
2023,290,39.05
2023,291,39
2023,292,38.7
2023,293,39
2023,294,58.92
2023,295,92.58
2023,296,111.33
2023,297,106.03
2023,298,98.74
2023,299,91.17
2023,300,82.89
2023,301,76.14
2023,302,77.96
2023,303,80
2023,304,90.14
2023,305,113.13
2023,306,128.08
2023,307,149
2023,308,154.7
2023,309,138.69
2023,310,110.37
2023,311,103.94
2023,312,80
2023,313,73.5
2023,314,65.91
2023,315,49.95
2023,316,45.37
2023,317,45
2023,318,48.23
2023,319,59.39
2023,320,60.65
2023,321,68.71
2023,322,54.23
2023,323,45.4
2023,324,45.4
2023,325,45
2023,326,40
2023,327,35
2023,328,42.97
2023,329,54.23
2023,330,64.5
2023,331,69.78
2023,332,54.52
2023,333,45
2023,334,44.2
2023,335,35
2023,336,25
2023,337,17.08
2023,338,13.94
2023,339,4.16
2023,340,3.1
2023,341,4.16
2023,342,4.16
2023,343,5
2023,344,16.18
2023,345,26.73
2023,346,31.1
