,,,Psu_i
BTC,1_H_BTC,1,2
BTC,1_H_BTC,2,2
BTC,1_H_BTC,3,2
BTC,1_H_BTC,4,4.9
BTC,1_H_BTC,5,
BTC,1_H_BTC,6,
BTC,1_H_BTC,7,
BTC,1_H_BTC,8,
BTC,1_H_BTC,9,
BTC,1_H_BTC,10,
BTC,1_H_BTC,11,
BTC,1_H_BTC,12,
BTC,1_H_BTC,13,
BTC,1_H_BTC,14,
BTC,1_H_BTC,15,
BTC,1_H_BTC,16,
BTC,1_H_BTC,17,
BTC,1_H_BTC,18,
BTC,1_H_BTC,19,
BTC,1_H_BTC,20,
BTC,1_H_BTC,21,
BTC,1_H_BTC,22,
BTC,2_W_BTC,1,0.001
BTC,2_W_BTC,2,0.001
BTC,2_W_BTC,3,0.001
BTC,2_W_BTC,4,0.001
BTC,2_W_BTC,5,0.001
BTC,2_W_BTC,6,0.001
BTC,2_W_BTC,7,0.001
BTC,2_W_BTC,8,0.001
BTC,2_W_BTC,9,0.001
BTC,2_W_BTC,10,0.001
BTC,2_W_BTC,11,0.001
BTC,2_W_BTC,12,0.001
BTC,2_W_BTC,13,2
BTC,2_W_BTC,14,2
BTC,2_W_BTC,15,2
BTC,2_W_BTC,16,4.49
BTC,2_W_BTC,17,
BTC,2_W_BTC,18,
BTC,2_W_BTC,19,
BTC,2_W_BTC,20,
BTC,2_W_BTC,21,
BTC,2_W_BTC,22,
BTC,3_C_BTC,1,0.001
BTC,3_C_BTC,2,0.001
BTC,3_C_BTC,3,0.001
BTC,3_C_BTC,4,0.001
BTC,3_C_BTC,5,0.001
BTC,3_C_BTC,6,0.001
BTC,3_C_BTC,7,0.001
BTC,3_C_BTC,8,0.001
BTC,3_C_BTC,9,0.001
BTC,3_C_BTC,10,0.001
BTC,3_C_BTC,11,0.001
BTC,3_C_BTC,12,0.001
BTC,3_C_BTC,13,0.001
BTC,3_C_BTC,14,0.001
BTC,3_C_BTC,15,0.001
BTC,3_C_BTC,16,0.001
BTC,3_C_BTC,17,0.001
BTC,3_C_BTC,18,0.001
BTC,3_C_BTC,19,2
BTC,3_C_BTC,20,2
BTC,3_C_BTC,21,2
BTC,3_C_BTC,22,4.49
CHP1,1_H_CHP,1,1
CHP1,1_H_CHP,2,1.5
CHP1,1_H_CHP,3,
CHP1,1_H_CHP,4,
CHP1,1_H_CHP,5,
CHP1,2_W_CHP,1,1
CHP1,2_W_CHP,2,1
CHP1,2_W_CHP,3,1.5
CHP1,2_W_CHP,4,
CHP1,2_W_CHP,5,
CHP1,3_C_CHP,1,1
CHP1,3_C_CHP,2,1
CHP1,3_C_CHP,3,1
CHP1,3_C_CHP,4,1
CHP1,3_C_CHP,5,1.5
