,,Cost
2021,0,53.4135
2021,1,50.5995
2021,2,46.914
2021,3,40.425
2021,4,38.64
2021,5,38.3775
2021,6,38.43
2021,7,38.3775
2021,8,38.3775
2021,9,38.3775
2021,10,39.4275
2021,11,39.4275
2021,12,39.4275
2021,13,39.4275
2021,14,38.43
2021,15,37.275
2021,16,37.8
2021,17,40.425
2021,18,54.6105
2021,19,57.918
2021,20,60.27
2021,21,56.553
2021,22,56.1225
2021,23,52.206
2021,24,49.0245
2021,25,44.5515
2021,26,42.105
2021,27,41.0655
2021,28,39.4275
2021,29,39.585
2021,30,41.58
2021,31,45.507
2021,32,50.8725
2021,33,54.18
2021,34,54.6
2021,35,53.8125
2021,36,53.088
2021,37,53.0985
2021,38,53.0985
2021,39,50.8725
2021,40,52.7625
2021,41,56.9415
2021,42,61.5825
2021,43,63.4515
2021,44,63.0315
2021,45,57.7815
2021,46,54.8625
2021,47,50.8725
2021,48,48.4155
2021,49,45.15
2021,50,41.5275
2021,51,39.312
2021,52,37.422
2021,53,37.275
2021,54,37.947
2021,55,38.8185
2021,56,40.866
2021,57,46.7145
2021,58,51.45
2021,59,52.815
2021,60,50.4
2021,61,48.972
2021,62,46.2105
2021,63,43.3335
2021,64,52.416
2021,65,57.918
2021,66,62.2545
2021,67,64.1445
2021,68,63
2021,69,62.37
2021,70,58.128
2021,71,55.713
2021,72,52.7415
2021,73,49.3605
2021,74,45.9795
2021,75,43.7325
2021,76,43.701
2021,77,46.725
2021,78,58.8
2021,79,65.1
2021,80,68.082
2021,81,71.6625
2021,82,69.2685
2021,83,67.1265
2021,84,67.137
2021,85,67.137
2021,86,65.0685
2021,87,65.5725
2021,88,67.095
2021,89,70.371
2021,90,74.6025
2021,91,76.23
2021,92,73.5
2021,93,69.3
2021,94,65.604
2021,95,64.3125
2021,96,67.914
2021,97,59.0625
2021,98,54.453
2021,99,53.4555
2021,100,53.088
2021,101,53.8125
2021,102,61.3725
2021,103,71.715
2021,104,73.9305
2021,105,78.75
2021,106,77.154
2021,107,75.9255
2021,108,74.9175
2021,109,76.146
2021,110,73.2375
2021,111,71.7045
2021,112,73.2375
2021,113,75.495
2021,114,84
2021,115,84
2021,116,79.7895
2021,117,79.1595
2021,118,76.3245
2021,119,73.5
2021,120,72.471
2021,121,70.917
2021,122,63.4095
2021,123,58.5375
2021,124,57.918
2021,125,56.1855
2021,126,57.939
2021,127,70.9905
2021,128,73.5
2021,129,77.217
2021,130,79.7475
2021,131,81.039
2021,132,80.8605
2021,133,77.4795
2021,134,76.671
2021,135,74.4345
2021,136,76.4925
2021,137,81.9
2021,138,87.5175
2021,139,94.5
2021,140,83.58
2021,141,79.17
2021,142,75.705
2021,143,70.917
2021,144,80.85
2021,145,69.1425
2021,146,66.969
2021,147,62.2755
2021,148,60.9
2021,149,63.6825
2021,150,68.25
2021,151,88.179
2021,152,99.771
2021,153,103.95
2021,154,105
2021,155,105
2021,156,105
2021,157,105
2021,158,105
2021,159,104.8425
2021,160,102.7425
2021,161,105
2021,162,112.2975
2021,163,114.4185
2021,164,106.9425
2021,165,106.2285
2021,166,105
2021,167,94.5
2021,168,100.779
2021,169,81.8265
2021,170,73.0275
2021,171,68.25
2021,172,63
2021,173,64.155
2021,174,72.9855
2021,175,91.2765
2021,176,108.717
2021,177,115.9725
2021,178,115.5
2021,179,115.9725
2021,180,115.5
2021,181,115.5
2021,182,113.1375
2021,183,106.029
2021,184,105.378
2021,185,115.5
2021,186,119.0385
2021,187,120.6345
2021,188,115.5
2021,189,115.5
2021,190,102.3225
2021,191,78.2145
2021,192,73.6785
2021,193,64.722
2021,194,58.758
2021,195,54.474
2021,196,52.7625
2021,197,52.7625
2021,198,53.9595
2021,199,58.401
2021,200,63.4095
2021,201,75.6315
2021,202,96.6105
2021,203,100.779
2021,204,78.771
2021,205,78.7815
2021,206,80.472
2021,207,76.4925
2021,208,79.275
2021,209,105
2021,210,120.6345
2021,211,126
2021,212,127.302
2021,213,126.7245
2021,214,120.75
2021,215,106.4805
2021,216,65.1
2021,217,58.5375
2021,218,55.797
2021,219,51.4815
2021,220,50.8725
2021,221,51.5235
2021,222,53.4135
2021,223,52.7415
2021,224,54.18
2021,225,60.3015
2021,226,63.945
2021,227,64.6065
2021,228,63.4095
2021,229,59.2305
2021,230,59.8395
2021,231,59.2305
2021,232,59.346
2021,233,65.73
2021,234,99.75
2021,235,113.1375
2021,236,115.8045
2021,237,115.5
2021,238,105.378
2021,239,71.169
2021,240,61.1625
2021,241,55.8495
2021,242,53.4135
2021,243,50.0745
2021,244,48.678
2021,245,54.915
2021,246,65.6355
2021,247,81.795
2021,248,100.779
2021,249,103.341
2021,250,100.779
2021,251,87.5175
2021,252,84
2021,253,85.029
2021,254,81.6375
2021,255,78.771
2021,256,87.5175
2021,257,103.0365
2021,258,114.8385
2021,259,126
2021,260,127.197
2021,261,126
2021,262,110.25
2021,263,89.523
2021,264,79.086
2021,265,65.625
2021,266,59.325
2021,267,58.464
2021,268,57.939
2021,269,58.8105
2021,270,69.972
2021,271,88.2525
2021,272,103.341
2021,273,108.192
2021,274,105.7245
2021,275,103.0365
2021,276,98.7525
2021,277,98.7525
2021,278,93.0405
2021,279,78.0885
2021,280,78.7815
2021,281,92.4525
2021,282,107.1525
2021,283,116.4345
2021,284,119.721
2021,285,113.3895
2021,286,94.5
2021,287,74.1405
2021,288,78.6555
2021,289,76.125
2021,290,68.25
2021,291,66.15
2021,292,64.4175
2021,293,68.0925
2021,294,77.7105
2021,295,93.45
2021,296,102.354
2021,297,103.95
2021,298,103.2885
2021,299,102.732
2021,300,101.976
2021,301,101.976
2021,302,102.354
2021,303,101.976
2021,304,103.2885
2021,305,105.462
2021,306,107.1315
2021,307,114.891
2021,308,118.482
2021,309,108.9375
2021,310,105.462
2021,311,89.2605
2021,312,99.75
2021,313,73.8675
2021,314,71.0325
2021,315,65.2575
2021,316,63
2021,317,63.4095
2021,318,71.0325
2021,319,87.381
2021,320,99.75
2021,321,103.0365
2021,322,101.85
2021,323,99.75
2021,324,93.1875
2021,325,92.7255
2021,326,93.1875
2021,327,87.0135
2021,328,93.1875
2021,329,100.779
2021,330,105.1785
2021,331,108.864
2021,332,113.106
2021,333,108.0345
2021,334,104.0025
2021,335,100.3695
2021,336,72.2925
2021,337,63
2021,338,58.254
2021,339,57.33
2021,340,55.335
2021,341,57.12
2021,342,66.1185
2021,343,81.837
2021,344,94.542
2021,345,102.648
2021,346,95.2245
2021,347,91.3185
2021,348,83.2125
2021,349,80.472
2021,350,80.997
2021,351,80.829
2021,352,86.1
2021,353,92.631
2021,354,102.921
2021,355,100.8105
2021,356,102.921
2021,357,99.0045
2021,358,88.326
2021,359,82.95
2021,360,67.5885
2021,361,62.9055
2021,362,57.855
2021,363,54.81
2021,364,54.6
2021,365,54.6
2021,366,56.238
2021,367,57.015
2021,368,65.058
2021,369,70.0245
2021,370,73.5945
2021,371,72.5025
2021,372,71.4525
2021,373,70.0245
2021,374,70.917
2021,375,68.775
2021,376,70.0245
2021,377,73.5945
2021,378,88.137
2021,379,93.261
2021,380,98.4795
2021,381,93.4815
2021,382,87.8535
2021,383,73.752
2021,384,69.3525
2021,385,63
2021,386,58.0125
2021,387,57.75
2021,388,57.7395
2021,389,57.7395
2021,390,57.7395
2021,391,58.0125
2021,392,58.464
2021,393,62.6745
2021,394,64.2285
2021,395,65.52
2021,396,66.6225
2021,397,64.8375
2021,398,64.7745
2021,399,57.939
2021,400,63.63
2021,401,70.4025
2021,402,75.6
2021,403,86.1105
2021,404,90.93
2021,405,92.232
2021,406,87.8535
2021,407,74.5185
2021,408,85.344
2021,409,83.5065
2021,410,75.6525
2021,411,74.025
2021,412,73.5
2021,413,78.4245
2021,414,81.732
2021,415,84.231
2021,416,87.7695
2021,417,89.943
2021,418,87.2025
2021,419,81.732
2021,420,81.5745
2021,421,80.4195
2021,422,76.881
2021,423,75.6525
2021,424,79.632
2021,425,87.0345
2021,426,97.4505
2021,427,116.445
2021,428,121.779
2021,429,103.9605
2021,430,87.5595
2021,431,76.8705
2021,432,88.2525
2021,433,74.3295
2021,434,66.2025
2021,435,62.475
2021,436,61.131
2021,437,62.3175
2021,438,64.89
2021,439,78.1095
2021,440,95.76
2021,441,98.406
2021,442,96.3795
2021,443,90.804
2021,444,88.2
2021,445,84
2021,446,78.0045
2021,447,74.445
2021,448,77.0175
2021,449,82.4145
2021,450,88.9245
2021,451,95.76
2021,452,96.5685
2021,453,88.9245
2021,454,72.5025
2021,455,61.11
2021,456,52.6575
2021,457,46.935
2021,458,42.2625
2021,459,40.4145
2021,460,31.1535
2021,461,38.4825
2021,462,47.2185
2021,463,58.926
2021,464,63.7245
2021,465,67.2525
2021,466,67.0215
2021,467,62.622
2021,468,57.7605
2021,469,54.18
2021,470,52.353
2021,471,47.1975
2021,472,50.4315
2021,473,56.7105
2021,474,61.11
2021,475,67.9245
2021,476,71.295
2021,477,65.8245
2021,478,53.6025
2021,479,44.835
2021,480,32.235
2021,481,22.176
2021,482,11.7495
2021,483,3.8535
2021,484,3.3075
2021,485,17.6085
2021,486,39.375
2021,487,51.996
2021,488,59.115
2021,489,61.6875
2021,490,58.632
2021,491,56.994
2021,492,53.088
2021,493,52.206
2021,494,45.9165
2021,495,49.245
2021,496,49.707
2021,497,53.4135
2021,498,58.632
2021,499,60.123
2021,500,57.918
2021,501,54.3795
2021,502,51.4185
2021,503,44.52
2021,504,37.7475
2021,505,30.3975
2021,506,26.9955
2021,507,25.158
2021,508,24.1815
2021,509,28.8225
2021,510,31.3425
2021,511,43.1025
2021,512,53.5605
2021,513,56.175
2021,514,53.6025
2021,515,49.6545
2021,516,46.2105
2021,517,44.73
2021,518,39.375
2021,519,39.375
2021,520,41.265
2021,521,51.1245
2021,522,57.561
2021,523,60.102
2021,524,58.3695
2021,525,55.5555
2021,526,54.3795
2021,527,48.972
2021,528,34.23
2021,529,26.25
2021,530,14.7
2021,531,12.558
2021,532,10.7625
2021,533,10.7625
2021,534,14.7
2021,535,19.32
2021,536,24.4335
2021,537,28.4025
2021,538,33.6525
2021,539,32.529
2021,540,28.8855
2021,541,30.5025
2021,542,30.5025
2021,543,26.25
2021,544,26.25
2021,545,28.035
2021,546,34.44
2021,547,45.822
2021,548,51.7545
2021,549,52.479
2021,550,42
2021,551,33.6525
2021,552,22.26
2021,553,12.6
2021,554,3.675
2021,555,2.0475
2021,556,2.0475
2021,557,3.675
2021,558,9.1035
2021,559,14.6895
2021,560,20.0025
2021,561,27.3525
2021,562,31.5
2021,563,31.29
2021,564,30.5025
2021,565,31.08
2021,566,31.29
2021,567,30.87
2021,568,31.29
2021,569,45.2025
2021,570,55.5135
2021,571,60.1965
2021,572,62.223
2021,573,58.548
2021,574,56.6265
2021,575,50.2845
2021,576,48.951
2021,577,45.2445
2021,578,38.43
2021,579,34.02
2021,580,33.747
2021,581,38.43
2021,582,53.7915
2021,583,62.727
2021,584,75.6315
2021,585,78.792
2021,586,78.6975
2021,587,74.0565
2021,588,72.471
2021,589,70.35
2021,590,66.402
2021,591,64.659
2021,592,68.0715
2021,593,72.7545
2021,594,77.574
2021,595,78.603
2021,596,73.731
2021,597,71.6625
2021,598,61.32
2021,599,57.225
2021,600,60.5745
2021,601,55.188
2021,602,53.9805
2021,603,51.24
2021,604,51.03
2021,605,53.991
2021,606,62.5065
2021,607,72.5025
2021,608,77.6475
2021,609,83.664
2021,610,77.6055
2021,611,75.6
2021,612,73.5
2021,613,72.177
2021,614,71.4945
2021,615,71.5575
2021,616,72.1875
2021,617,77.4165
2021,618,86.142
2021,619,79.275
2021,620,78.3405
2021,621,74.8335
2021,622,70.1715
2021,623,60.018
2021,624,51.702
2021,625,47.2185
2021,626,45.486
2021,627,44.142
2021,628,44.3835
2021,629,47.1765
2021,630,53.8125
2021,631,68.7015
2021,632,70.749
2021,633,74.2035
2021,634,71.61
2021,635,70.959
2021,636,69.069
2021,637,67.494
2021,638,66.1185
2021,639,66.8325
2021,640,69.195
2021,641,71.5785
2021,642,74.004
2021,643,74.13
2021,644,70.6965
2021,645,68.187
2021,646,63.672
2021,647,55.188
2021,648,49.2135
2021,649,47.1765
2021,650,46.0215
2021,651,44.52
2021,652,45.822
2021,653,46.6305
2021,654,55.797
2021,655,66.423
2021,656,68.6805
2021,657,69.405
2021,658,68.229
2021,659,67.2
2021,660,63.777
2021,661,62.2755
2021,662,59.1675
2021,663,55.86
2021,664,57.7815
2021,665,63.5145
2021,666,66.4965
2021,667,66.927
2021,668,62.664
2021,669,60.9
2021,670,53.571
2021,671,47.7855
2021,672,44.8455
2021,673,40.1625
2021,674,35.343
2021,675,31.4895
2021,676,30.45
2021,677,34.65
2021,678,47.25
2021,679,58.107
2021,680,61.53
2021,681,61.8345
2021,682,59.7135
2021,683,57.4035
2021,684,55.86
2021,685,51.4605
2021,686,47.5965
2021,687,47.0925
2021,688,51.2925
2021,689,57.414
2021,690,63.8295
2021,691,62.349
2021,692,57.057
2021,693,52.5315
2021,694,48.195
2021,695,36.75
2021,696,13.6185
2021,697,5.355
2021,698,2.52
2021,699,2.0475
2021,700,2.0475
2021,701,2.0475
2021,702,2.0475
2021,703,2.0475
2021,704,2.0475
2021,705,4.2
2021,706,5.355
2021,707,2.0475
2021,708,2.0475
2021,709,2.0475
2021,710,2.0475
2021,711,2.0475
2021,712,2.0475
2021,713,2.0475
2021,714,5.355
2021,715,8.82
2021,716,14.7
2021,717,11.5395
2021,718,5.355
2021,719,2.0475
2021,720,2.0475
2021,721,1.995
2021,722,1.05
2021,723,0.168
2021,724,0.168
2021,725,0.168
2021,726,0.168
2021,727,0.168
2021,728,0.168
2021,729,1.05
2021,730,2.0475
2021,731,2.0475
2021,732,2.0475
2021,733,2.0475
2021,734,2.0475
2021,735,2.037
2021,736,1.995
2021,737,2.0475
2021,738,2.0475
2021,739,2.0475
2021,740,2.058
2021,741,2.058
2021,742,2.0475
2021,743,2.0475
2021,744,2.037
2021,745,0.588
2021,746,0.168
2021,747,0.168
2021,748,0.168
2021,749,1.6695
2021,750,2.0475
2021,751,6.279
2021,752,18.438
2021,753,24.2025
2021,754,19.0575
2021,755,10.8465
2021,756,5.271
2021,757,3.675
2021,758,2.0475
2021,759,3.675
2021,760,6.825
2021,761,11.2035
2021,762,26.25
2021,763,38.43
2021,764,41.265
2021,765,38.0205
2021,766,24.3075
2021,767,13.1775
2021,768,10.7625
2021,769,8.925
2021,770,6.405
2021,771,3.3495
2021,772,3.3495
2021,773,5.985
2021,774,9.429
2021,775,30.2295
2021,776,38.682
2021,777,40.9605
2021,778,39.69
2021,779,38.3565
2021,780,37.17
2021,781,36.855
2021,782,32.6025
2021,783,30.8595
2021,784,32.6025
2021,785,35.7
2021,786,39.501
2021,787,49.35
2021,788,49.35
2021,789,39.501
2021,790,29.3895
2021,791,14.7
2021,792,21.63
2021,793,19.215
2021,794,9.1035
2021,795,8.358
2021,796,6.72
2021,797,12.747
2021,798,21.987
2021,799,39.375
2021,800,45.2445
2021,801,48.825
2021,802,49.8855
2021,803,47.7855
2021,804,46.3575
2021,805,48.3525
2021,806,45.2445
2021,807,43.2075
2021,808,44.1105
2021,809,50.4105
2021,810,55.9125
2021,811,55.86
2021,812,55.8915
2021,813,51.66
2021,814,45.696
2021,815,40.236
2021,816,39.2175
2021,817,37.2645
2021,818,36.309
2021,819,35.175
2021,820,36.96
2021,821,41.3385
2021,822,50.736
2021,823,60.0075
2021,824,62.1495
2021,825,63
2021,826,62.139
2021,827,59.367
2021,828,58.8945
2021,829,58.4745
2021,830,59.388
2021,831,61.0575
2021,832,62.391
2021,833,64.218
2021,834,69.3525
2021,835,70.8855
2021,836,62.3595
2021,837,58.8945
2021,838,55.335
2021,839,50.4525
2021,840,47.8485
2021,841,46.2105
2021,842,44.352
2021,843,43.26
2021,844,42.546
2021,845,45.528
2021,846,52.9515
2021,847,61.5825
2021,848,64.6905
2021,849,64.0815
2021,850,62.517
2021,851,61.467
2021,852,60.0075
2021,853,57.2355
2021,854,52.5
2021,855,50.4
2021,856,50.4525
2021,857,51.45
2021,858,59.4405
2021,859,60.333
2021,860,54.537
2021,861,52.3845
2021,862,50.9145
2021,863,48.2895
2021,864,46.2525
2021,865,40.425
2021,866,39.375
2021,867,36.834
2021,868,35.133
2021,869,33.7155
2021,870,36.225
2021,871,36.477
2021,872,37.485
2021,873,39.375
2021,874,39.9525
2021,875,39.375
2021,876,39.375
2021,877,41.7585
2021,878,39.375
2021,879,35.6475
2021,880,35.28
2021,881,36.8445
2021,882,43.617
2021,883,45.129
2021,884,39.5325
2021,885,32.6025
2021,886,30.093
2021,887,27.72
2021,888,18.9525
2021,889,14.7
2021,890,2.0475
2021,891,0.21
2021,892,0.168
2021,893,0.168
2021,894,0.21
2021,895,2.0475
2021,896,9.45
2021,897,17.514
2021,898,21
2021,899,17.514
2021,900,14.7525
2021,901,15.8445
2021,902,15.75
2021,903,5.817
2021,904,5.817
2021,905,14.7525
2021,906,22.8795
2021,907,26.67
2021,908,28.35
2021,909,26.67
2021,910,21
2021,911,14.7525
2021,912,2.0475
2021,913,2.0475
2021,914,2.0475
2021,915,1.407
2021,916,1.3545
2021,917,2.0475
2021,918,2.0475
2021,919,8.442
2021,920,21.6195
2021,921,22.5015
2021,922,12.0855
2021,923,7.35
2021,924,6.1215
2021,925,3.675
2021,926,2.0475
2021,927,2.0475
2021,928,2.0475
2021,929,5.271
2021,930,8.484
2021,931,23.604
2021,932,26.523
2021,933,23.604
2021,934,13.1145
2021,935,7.539
2021,936,2.0475
2021,937,2.0475
2021,938,1.575
2021,939,1.155
2021,940,1.638
2021,941,2.0475
2021,942,2.0475
2021,943,7.98
2021,944,12.957
2021,945,13.3035
2021,946,10.962
2021,947,9.954
2021,948,8.379
2021,949,8.757
2021,950,6.5415
2021,951,7.2975
2021,952,7.35
2021,953,8.4
2021,954,11.025
2021,955,14.7
2021,956,15.8655
2021,957,13.293
2021,958,7.644
2021,959,2.058
2021,960,8.4
2021,961,2.0475
2021,962,2.0475
2021,963,2.0475
2021,964,2.0475
2021,965,2.0475
2021,966,2.0475
2021,967,14.7
2021,968,28.392
2021,969,26.6595
2021,970,27.3
2021,971,23.2995
2021,972,18.2595
2021,973,21
2021,974,15.12
2021,975,15.12
2021,976,25.2
2021,977,32.424
2021,978,61.53
2021,979,84
2021,980,76.923
2021,981,67.3995
2021,982,63.3045
2021,983,40.425
2021,984,51.45
2021,985,25.515
2021,986,14.7
2021,987,9.9015
2021,988,4.032
2021,989,12.852
2021,990,36.9915
2021,991,60.165
2021,992,63.2205
2021,993,63.987
2021,994,63.1365
2021,995,60.165
2021,996,57.75
2021,997,57.75
2021,998,53.55
2021,999,56.4165
2021,1000,58.0335
2021,1001,62.937
2021,1002,64.554
2021,1003,76.02
2021,1004,75.39
2021,1005,65.3835
2021,1006,61.719
2021,1007,54.096
2021,1008,33.726
2021,1009,25.2
2021,1010,16.7895
2021,1011,10.7625
2021,1012,10.7625
2021,1013,16.7895
2021,1014,27.909
2021,1015,54.096
2021,1016,57.75
2021,1017,58.5375
2021,1018,55.65
2021,1019,50.1165
2021,1020,40.6245
2021,1021,33.726
2021,1022,27.615
2021,1023,14.7
2021,1024,17.01
2021,1025,33.201
2021,1026,54.2745
2021,1027,60.5745
2021,1028,64.0605
2021,1029,62.2755
2021,1030,57.288
2021,1031,47.3445
